"TEXT","DISEASE","TREATMENT"
"we found no evidence of disturbances in gastric remnant emptying after Roux-en-Y gastrojejunostomy to treat postoperative alkaline gastric reflux .","['postoperative alkaline gastric reflux']","['Roux-en-Y gastrojejunostomy']"
"Drainage methods for the gastric conduit after esophagectomy for carcinoma have been controversial .","['carcinoma']","['esophagectomy']"
"Contemporary asthma management guidelines list inhaled corticosteroids as the preferred controller medication for patients with persistent asthma .","['persistent asthma']","['inhaled corticosteroids']"
"Fluticasone propionate is one of several inhaled corticosteroids used for the treatment of asthma .","['asthma']","['Fluticasone propionate']"
"A series of comparative analyses show that inhaled fluticasone propionate is more cost effective than oral zafirlukast and triamcinolone acetonide and slightly more cost effective than flunisolide in adult patients with asthma .","['asthma']","['inhaled fluticasone propionate']"
"Quality-of-life assessments in patients with mild to moderate disease show that inhaled fluticasone propionate achieved improvements which were deemed to be clinically meaningful in patients with mild to moderate asthma ; these changes were significantly greater than those achieved with oral zafirlukast , inhaled triamcinolone acetonide or placebo .","['asthma']","['inhaled fluticasone propionate']"
"In addition to the considerable body of clinical evidence supporting the use of inhaled fluticasone propionate in patients with asthma , accumulating short term cost-effectiveness data also suggest that this agent can be administered for a similar or lower cost per outcome than other inhaled corticosteroids or oral zafirlukast .","['asthma']","['inhaled fluticasone propionate']"
"Importantly , the clinical benefits offered by fluticasone propionate in patients with persistent asthma are accompanied by clinically significant improvements in quality of life .","['persistent asthma']","['fluticasone propionate']"
"Combination therapy with interferon-alpha ( IFN alpha ) plus Ribavirin has been shown to improve the response rate in patients with chronic hepatitis C as compared to IFN alpha alone .","['chronic hepatitis C']","['Combination therapy with interferon-alpha ( IFN alpha ) plus Ribavirin']"
"To prove , whether Ribavirin has any additional effect on the decline of hepatitis C viremia during the first weeks of treatment patients with and without combination therapy were compared .","['hepatitis C viremia']","['Ribavirin']"
"In patients with combination therapy , a further reduction of viremia level could be observed , whereas viremia levels in patients with IFN alpha alone slightly increased .","['viremia']","['combination therapy']"
"Ribavirin in combination with IFN alpha exerts an additional anti-viral/immunmodulatory effect which manifests itself in phase 2 of hepatitis C viremia decline .","['hepatitis C viremia']","['Ribavirin in combination with IFN alpha']"
"Surgical clearance of CBD stones was achieved in 58 patients ( 93.5 % ; group Ia ) .","['CBD stones']","['Surgical clearance']"
"Use of ES to treat CBD stones on a routine basis was therefore not found to be any better than one-time surgical exploration .","['CBD stones']","['ES']"
"Effect of cholecystectomy on gastroesophageal and duodenogastric reflux .","['gastroesophageal and duodenogastric reflux']","['cholecystectomy']"
"It is suggested that damaged mucosal tissues with AHF can be effectively compensated by enhanced regeneration response due to an adequately high dose intensity , suggesting a possible tolerability advantage for AHF .","['damaged mucosal tissues']","['AHF']"
"Minimally invasive treatment of abscesses by CT-controlled drainage with a basket catheter system .","['abscesses']","['CT-controlled drainage with a basket catheter system']"
"PL granule is one of the most common forms of composite medicine for colds in Japan , including acetaminophen .","['colds']","['PL granule']"
"A 72-year old man who had been prescribed amiodarone for more than one year before for arrhythmogenic right ventricular dystrophy , repeatedly took PL granules at one-week intervals because of sneezing and fever .","['arrhythmogenic right ventricular dystrophy']","['amiodarone']"
"He needed mechanical ventilation for severe hypoxemia , but recovered with glucocorticoid pulse therapy .","['severe hypoxemia']","['mechanical ventilation', 'glucocorticoid pulse therapy']"
"In a follow-up study operative risk , postoperative functional disorders and incidence of anastomotic ( recurrent ) ulcer after partial gastrectomy with Roux-en-Y gastrojejunostomy for gastroduodenal ulcer were evaluated in 52 patients .","['gastroduodenal ulcer']","['partial gastrectomy with Roux-en-Y gastrojejunostomy']"
"The aim of these studies was to compare the pharmacokinetics of inhaled fluticasone propionate ( FP ) after repeated administration via the Diskus or Diskhaler dry powder inhalers ( DPIs ) to patients with mild-to-moderate asthma .","['mild-to-moderate asthma']","['inhaled fluticasone propionate ( FP )']"
"In patients with asthma receiving repeated inhaled doses of FP , the systemic exposure ( AUC ) after inhalation from the Diskus was similar to that from the Diskhaler , with no difference between the DPIs in the effects on cortisol suppression .","['asthma']","['repeated inhaled doses of FP']"
"DATA Recently , an expert panel of the Centers for Disease Control and Prevention recommended use of only three of 16 systemic antibiotics approved by the Food and Drug Administration for treatment of amoxicillin , cefuroxime axetil , and ceftriaxone .","['AOM']","['systemic antibiotics', 'amoxicillin , cefuroxime axetil , and ceftriaxone']"
"A three-step treatment algorithm for refractory AOM that employs amoxicillin , trimethoprim/sulfamethoxazole ( TMP/SMX ) , or high-dose amoxicillin/clavulanate ( depending on the prior dose of and adherence to amoxicillin therapy ) , and ceftriaxone or tympanocentesis at steps 1 , 2 , and 3 , respectively , appears rational and cost-effective .","['refractory AOM']","['amoxicillin , trimethoprim/sulfamethoxazole ( TMP/SMX ) , or high-dose amoxicillin/clavulanate ( depending on the prior dose of and adherence to amoxicillin therapy ) , and ceftriaxone or tympanocentesis']"
"Amoxicillin remains the antibiotic of choice for initial empiric treatment of AOM , although the traditional dosage should be increased in patients at risk for drug-resistant S. pneumoniae .","['AOM']","['Amoxicillin']"
"This model can be used to test the safety and efficacy of liver-assist devices aimed at temporizing the detoxification functions of the failing liver .","['failing liver']","['liver-assist devices']"
"dverse outcomes and opioid analgesic administration in acute abdominal pain .","['acute abdominal pain']","['opioid analgesic administration']"
"We examined the remnant stomach for H. pylori infection after gastrectomy for gastric cancer or peptic ulcer between October 1992 and July 1997 .","['gastric cancer or peptic ulcer']","['gastrectomy']"
"The recent introduction of ribavirin , given in combination , has led to a re-appraisal of the management of chronic hepatitis C .","['chronic hepatitis C']","['ribavirin']"
"The current report considers the additional benefit of combination therapy ( interferon alfa and ribavirin ) compared with monotherapy ( interferon alfa alone ) for the treatment of patients with chronic hepatitis C .","['chronic hepatitis C']","['combination therapy ( interferon alfa and ribavirin )']"
"To review the clinical effectiveness and cost-effectiveness of combination therapy with interferon alfa and ribavirin in patients with chronic hepatitis C .","['chronic hepatitis C']","['combination therapy with interferon alfa and ribavirin']"
"Sida cordifolia L. ( Malvaceae ) is used in folk medicine for the treatment of inflammation of the oral mucosa , blenorrhea , asthmatic bronchitis and nasal congestion .","['inflammation of the oral mucosa , blenorrhea , asthmatic bronchitis and nasal congestion']","['Sida cordifolia L. ( Malvaceae )']"
"Double-blind placebo-controlled trial of Mycobacterium vaccae immunotherapy for tuberculosis in KwaZulu , South Africa , 1991-97 .","['tuberculosis']","['Mycobacterium vaccae immunotherapy']"
"To evaluate the efficacy of oral tacrolimus as an induction agent in steroid-refractory severe colitis .Study Open-label , multicenter trial of oral tacrolimus in patients with severe colitis .","['steroid-refractory severe colitis']","['oral tacrolimus']"
"Although tacrolimus is effective induction therapy for severe ulcerative or Crohn 's colitis , fewer than 50 % of patients treated will successfully achieve a long-term remission .","[""severe ulcerative or Crohn 's colitis""]","['tacrolimus']"
"Cytomegalovirus ( CMV ) infection was one of the most common opportunistic infections in AIDS patients , leading to blindness or life-threatening disease in about 40 % of patients in the later stages of AIDS before highly active antiretroviral therapy ( HAART ) .","['Cytomegalovirus ( CMV ) infection']","['highly active antiretroviral therapy ( HAART )']"
"The study involved 117 infants ( mean age 2.6 months ) , who needed hospital treatment because of RSV bronchiolitis .","['RSV bronchiolitis']","['hospital treatment']"
"According to the present study it seems that inhaled corticosteroid treatment during and after the acute phase of infant RSV bronchiolitis may have a beneficial effect on subsequent bronchial wheezing tendency .","['infant RSV bronchiolitis']","['inhaled corticosteroid treatment']"
"This study was designed to evaluate the safety and estimate the efficacy of oral budesonide in patients with primary sclerosing cholangitis ( PSC ) .","['primary sclerosing cholangitis ( PSC )']","['oral budesonide']"
"Combined interferon and lamivudine is this the treatment of choice for patients with chronic hepatitis B virus infection ? .","['chronic hepatitis B virus infection']","['Combined interferon and lamivudine therapy']"
"She had been taking amitriptyline 75 mg at night for depression for four months before her admission .","['depression']","['amitriptyline']"
"We assessed the effects of early replacement therapy with protein-C concentrate together with continuous veno-venous haemodiafiltration and conventional treatment in meningococcaemia .","['meningococcaemia']","['early replacement therapy with protein-C concentrate together with continuous veno-venous haemodiafiltration']"
"The purpose of this study was to determine if topical DL-alpha-tocopherol ( vitamin E ) could reduce ultraviolet-induced damage to the epidermis .","['ultraviolet-induced damage to the epidermis']","['topical DL-alpha-tocopherol ( vitamin E )']"
"We observed the effects of cisapride in the management of idiopathic constipation in children .","['idiopathic constipation']","['cisapride']"
"Thirty-seven children with a history of constipation ( i.e. , pain and difficulty or delay in defecation for > 3 months ) were recruited and randomly assigned to 8 weeks of treatment with either cisapride , 0.2 mg/kg three times daily , or matching placebo after a 2-week run-in period in a double-blind , parallel-group study design .","['constipation']","['cisapride']"
"Patient 1 demonstrated dramatic clearing of his MCV lesions when intravenous cidofovir therapy was started for his treatment-resistant bilateral CMV retinitis and because of cidofovir 's possible activity against MCV .","['MCV lesions', 'treatment-resistant bilateral CMV retinitis', 'MCV']","['intravenous cidofovir therapy', ""cidofovir 's""]"
"In case 2 , cidofovir was compounded as a 3 % cream in a combination vehicle ( Dermovan ) for extensive facial involvement , and complete resolution of MCV was seen after 1 month of therapy .","['MCV']","['cidofovir']"
"In case 3 , intravenous cidofovir therapy was started both for CMV retinitis and in an attempt to clear 90 % facial MCV involvement ; after 1 month of treatment , all clinical evidence of MCV had resolved .","['CMV retinitis', 'MCV', 'MCV']","['intravenous cidofovir therapy']"
"Cidofovir , a nucleotide analog of deoxycytidine monophosphate , appears to have contributed to clearing of advanced MCV lesions in these 3 patients , thus providing suggestive evidence of clinical activity against MCV .","['advanced MCV lesions', 'MCV']","['Cidofovir']"
"Controlled trials of cidofovir therapy for MCV in persons infected with human immunodeficiency virus are warranted .","['MCV']","['cidofovir therapy']"
"This study aimed to determine the effect of external beam radiation therapy on choroidal neovascularization ( CNV ) secondary to age-related macular degeneration ( AMD ) .","['choroidal neovascularization ( CNV )', 'age-related macular degeneration ( AMD )']","['external beam radiation therapy']"
"Thrombolytic therapy has been accepted in the treatment of acute myocardial infarction .","['acute myocardial infarction']","['Thrombolytic therapy']"
"A bolus infusion of tissue plasminogen activator was administered during CPR in refractory ventricular fibrillation ( two cases ) and pulseless ventricular tachycardia ( one case ) .","['refractory ventricular fibrillation', 'pulseless ventricular tachycardia']","['tissue plasminogen activator', 'CPR']"
"We conclude that bolus thrombolytic infusions during CPR may facilitate spontaneous return of circulation in select patients with confirmed acute myocardial infarction , witnessed cardiac arrest in the ED , and refractory ventricular fibrillation or tachycardia .","['CPR', 'confirmed acute myocardial infarction', 'cardiac arrest', 'refractory ventricular fibrillation', 'tachycardia']","['bolus thrombolytic infusions']"
"Touch sensibility was assessed with von Frey 's monofilaments in the breasts of 10 healthy women ( controls ) and of 80 women with breast cancer who at least 1 year previously had undergone subcutaneous mastectomy and immediate reconstruction with a prosthesis .","['breast cancer']","['subcutaneous mastectomy']"
"Local injection of corticosteroids into refractory esophageal strictures to decrease the restenosis rate has been reported .","['restenosis']","['corticosteroids']"
"We systematically reviewed the evidence concerning the ability of five systemic treatments to induce remission in patients with severe ultraviolet B ( UVB ) , photochemotherapy ( PUVA ) , methotrexate ( MTX ) , retinoids ( RET ) and cyclosporin A ( CYA ) .","['severe psoriasis']","['systemic treatments', 'ultraviolet B ( UVB )', 'photochemotherapy ( PUVA )', 'methotrexate ( MTX )', 'retinoids ( RET )', 'cyclosporin A ( CYA )']"
"Consequently , parenteral nutrition ( PN ) solutions used to treat malnourished patients with chronic renal failure usually are prepared with little supplementation of these cations .","['chronic renal failure']","['parenteral nutrition ( PN ) solutions']"
"We report a multicenter experience using tubularized incised plate urethroplastym for proximal hypospadias .","['proximal hypospadias']","['tubularized incised plate urethroplastym']"
"MATERIALS AND From August 1993 to December 1996 tubularized incised plate urethroplasty was performed in 27 boys 6 months to 3 years old with mid shaft and penoscrotal hypospadias .","['mid shaft and penoscrotal hypospadias']","['tubularized incised plate urethroplasty']"
"Tubularized incised plate surgery created a functional neourethra even in penoscrotal hypospadias .","['penoscrotal hypospadias']","['Tubularized incised plate surgery']"
"Tubularized incised plate urethroplasty is a versatile operation that corrects proximal hypospadias defects with few complications and superior cosmetic results .","['proximal hypospadias defects']","['Tubularized incised plate urethroplasty']"
"Aortocoronary bypass grafting is an accepted procedure for ischemic heart disease .","['ischemic heart disease']","['Aortocoronary bypass grafting']"
"Immunotherapy of mice with preexisting cancers with heat shock protein preparations derived from autologous cancer resulted in retarded progression of the primary cancer , a reduced metastatic load , and prolongation of life-span .","['cancers', 'cancer']","['Immunotherapy', 'heat shock protein preparations derived from autologous cancer']"
"We describe such an event in a man who underwent allogeneic BMT for APL in second relapse and 4 years later presented with testicular relapse .","['APL']","['allogeneic BMT']"
"Olanzapine is an atypical antipsychotic effective in the treatment of schizophrenic patients .","['schizophrenic patients']","['Olanzapine']"
"After a 2- to 9-day placebo lead-in , 79 inpatients with schizophrenia according to DSM-III-R criteria were placed on an olanzapine dosage of 10 mg/day or 1 mg/day for up to 6 weeks .","['schizophrenia']","['olanzapine']"
"Fludarabine and ara-C successfully eradicated bone marrow disease in 16 of 27 patients ( 59 % ) , 23 patients of which had been treated previously with high-dose ara-C .","['bone marrow disease']","['Fludarabine', 'ara-C', 'ara-C']"
"These results verified the synergistic effect fludarabine exhibited in augmenting ara-CTP concentrations in patients ' leukemic blasts , thus improving the clinical response in relapsed pediatric leukemias .","['relapsed pediatric leukemias']","['fludarabine', 'ara-CTP']"
"The growing use of heparin in acute thrombotic disorders , coupled with the availability of many new antithrombotic agents , emphasizes the need for adequate characterization of the platelet effects of the various anticoagulants .","['acute thrombotic disorders']","['heparin', 'antithrombotic agents', 'anticoagulants']"
"METHODS AND Platelet P-selectin ( CD62 ) and activated GP IIb/IIIa ( PAC-1 ) expression on platelet membrane was quantified in whole blood as well as platelet aggregation in platelet-rich plasma in 43 patients with unstable angina before and during treatment with UFH or enoxaparin .","['unstable angina']","['UFH', 'enoxaparin']"
"We review our initial experience with direct percutaneous transluminal angioplasty ( PTA ) as a reperfusion treatment for acute occlusion of the middle cerebral artery .","['acute occlusion of the middle cerebral artery']","['direct percutaneous transluminal angioplasty ( PTA )', 'reperfusion treatment']"
"Women randomised to screen-and-treat received appropriate antibiotics only if screening proved positive for one or more infection .","['infection']","['antibiotics']"
"We advise that lamivudine should be considered during intensive chemotherapy treatment of chronic carriers of HBV .","['HBV']","['lamivudine', 'chemotherapy treatment']"
"The purpose of this analysis was to determine the influence of an additional treatment delay inherent in transfer to an angioplasty center for primary angioplasty of patients with acute myocardial infarction who are first admitted to hospitals without angioplasty facilities .","['acute myocardial infarction']","['primary angioplasty']"
"Several randomized trials have demonstrated the benefits of primary angioplasty in acute myocardial infarction .","['acute myocardial infarction']","['primary angioplasty']"
"We report the first case ( to our knowledge ) of an endoscopic removal of a forehead soft tissue mass .","['forehead soft tissue mass']","['endoscopic removal']"
"As the overview shows , both groups of substances are useful for individualized treatment of benign prostatic hyperplasia ( BPH ) , provided that conservative pharmacological treatment of BPH is basically accepted and that the patients ' quality of life is also considered .","['benign prostatic hyperplasia ( BPH )', 'BPH']","['pharmacological treatment']"
"The results of several clinical investigations showed the efficacy and safety of artichoke extracts ( Cynara scolymus L. ) in the treatment of hepato-biliary dysfunction and digestive complaints , such as sensation of fullness , loss of appetite , nausea and abdominal pain .","['hepato-biliary dysfunction and digestive complaints', 'loss of appetite', 'nausea', 'abdominal pain']","['artichoke extracts ( Cynara scolymus L. )']"
"Besides the well-known nonsteroidal antiinflammatory drugs ( NSAID ) for the treatment of rheumatic pain herbal medicine can also be applied successfully .","['rheumatic pain']","['nonsteroidal antiinflammatory drugs ( NSAID )', 'herbal medicine']"
"Extracts of the secondary tubers of Devil 's Claw ( Harpagophytum procumbens ) are recommended for the supportive treatment of degenerative painful rheumatism .","['degenerative painful rheumatism']","[""Devil 's Claw ( Harpagophytum procumbens )""]"
"High-dose intravenous immunoglobulin ( hdIVIg ) is increasingly used to treat a range of inflammatory and autoimmune diseases .","['inflammatory and autoimmune diseases']","['High-dose intravenous immunoglobulin ( hdIVIg )']"
"The current dermatological uses of hdIVIg include the treatment of dermatomyositis and the autoimmune bullous disorders , epidermolysis bullosa acquisita , pemphigoid , and pemphigus .","['dermatomyositis', 'autoimmune bullous disorders', 'epidermolysis bullosa acquisita', 'pemphigoid', 'pemphigus']","['hdIVIg']"
"Unfortunately , current dermatological uses of hdIVIg have been limited to either uncontrolled trials or anecdotal case reports , except for a single controlled trial of hdIVIg as adjunctive therapy in patients with dermatomyositis , which documented a significant benefit .","['dermatomyositis']","['hdIVIg']"
"We describe a technique that enables the autologous repair of large midline incisional hernias by restoring the functional musculoaponeurotic support of the abdominal wall .","['large midline incisional hernias']","['autologous repair']"
"OBJECTIVE AND The use of chronic intrathecal morphine for the treatment of intractable , nonmalignant pain is becoming more prevalent .","['intractable , nonmalignant pain']","['chronic intrathecal morphine']"
"During a 19-month period , seven children with empyema underwent thoracoscopy .","['empyema']","['thoracoscopy']"
"The growing use of automated night-time dialysis ( APD ) in peritoneal dialysis over the last few years shows that this method represents a valid alternative to continuous ambulatory peritoneal dialysis ( CAPD ) .","['peritoneal dialysis']","['automated night-time dialysis ( APD )', 'continuous ambulatory peritoneal dialysis ( CAPD )']"
"La Serna et al. ( Lancet 1987 ; 1517 ) were the first to treat adults with recurrent pericarditis with colchicine , and were followed by other authors .","['recurrent pericarditis']","['colchicine']"
"While these findings are observed for all classes of oral drugs , the issue is especially critical for cancer chemotherapy , in which a narrow therapeutic index is frequently observed .","['cancer']","['chemotherapy']"
"Treatment for low-grade NHL during the past 30 yr has consisted of high-dose radiation and cytotoxic agents , administered alone or in combination , and high-dose therapy with stem cell transplant .","['low-grade NHL']","['high-dose radiation', 'cytotoxic agents', 'high-dose therapy with stem cell transplant']"
"However , recent clinical use of monoclonal antibodies ( mAbs ) in patients with low-grade or transformed low-grade NHL has resulted in less toxicity than conventional treatments , as well as response rates that are comparable or superior to those achieved with chemotherapy .","['low-grade or transformed low-grade NHL']","['monoclonal antibodies ( mAbs )', 'chemotherapy']"
"Therefore , interest is growing in mAbs as therapeutic alternatives for patients with low-grade NHL and those with transformed histology .","['low-grade NHL']","['mAbs']"
"The treatment paradigm for NHL is expected to change over the next few years to include radiolabeled mAbs , administered alone or in combination with cytotoxic agents .","['NHL']","['radiolabeled mAbs', 'cytotoxic agents']"
"Clinical trials of UFT published in the Western world have included 581 patients with colorectal cancer .","['colorectal cancer']","['UFT']"
"The activity of oral UFT in large-bowel cancer when administered with oral LV ( approximately 50 mg/dose ) has resulted in objective response rates of approximately 40 % .","['large-bowel cancer']","['oral UFT', 'oral LV']"
"UFT is a fluoropyrimidine active in colorectal cancer .","['colorectal cancer']","['UFT', 'fluoropyrimidine']"
"Adrenalectomy is the current treatment for phaeochromocytoma .","['phaeochromocytoma']","['Adrenalectomy']"
"Adrenal-sparing surgery is safe and effective , and may become the treatment of choice in patients with hereditary phaeochromocytoma .","['hereditary phaeochromocytoma']","['Adrenal-sparing surgery']"
"Troglitazone is a new drug for the treatment of type 2 diabetes .","['type 2 diabetes']","['Troglitazone']"
"Interferon alfa-2a appears to have antineoplastic efficacy , ( and may have antiretroviral efficacy as well ) in this epidemic neoplasm .","['neoplasm']","['Interferon alfa-2a']"
"In three consecutive Phase II trials of recombinant interferon alfa-2a ( rIFN alfa-2a ; Roferon-A Hoffmann-La Roche , Nutley , NJ ) involving 96 patients with advanced malignant melanoma , an overall response rate of 22 % was observed .","['advanced malignant melanoma']","['recombinant interferon alfa-2a']"
"As single agent therapy in malignant melanoma , interferon alfa-2a was only marginally useful in most patients .","['malignant melanoma']","['interferon alfa-2a']"
"Studies with various interferon alpha preparations , including interferons induced in human leukocytes , interferon alfa-N1 , interferon alfa-2a , and interferon alfa-2b , have all provided evidence for modest but reproducible antitumor activity in advanced renal cell carcinoma .","['advanced renal cell carcinoma']","['interferon alpha preparations', 'interferons', 'interferon alfa-N1', 'interferon alfa-2a', 'interferon alfa-2b']"
"Preliminary evidence suggests that interferons beta and gamma may also induce regression of metastatic renal cell carcinoma .","['metastatic renal cell carcinoma']","['interferons beta and gamma']"
"The rationale for antileukemic therapy in hairy cell leukemia is to reduce the significant risk of infection and other potential serious complications .","['hairy cell leukemia']","['antileukemic therapy']"
"Splenectomy presumably alleviates the pancytopenic effect of hypersplenism by removing the preferred site of leukemic cell proliferation .","['hypersplenism']","['Splenectomy']"
"Recombinant and natural forms of interferon alpha have been shown to bring about tumor regressions in patients with low-grade non-Hodgkin 's lymphoma .","[""low-grade non-Hodgkin 's lymphoma""]","['interferon alpha']"
"Current studies using interferon in patients with low-grade non-Hodgkin 's lymphomas are evaluating lower , and perhaps better tolerated doses of interferon .","[""low-grade non-Hodgkin 's lymphomas""]","['interferon', 'interferon']"
"This approach is being extended to the clinic , and trials are now underway evaluating combinations of interferon and various cytotoxic drugs known from previous studies to be active in patients with low-grade non-Hodgkin 's lymphomas .","[""low-grade non-Hodgkin 's lymphomas""]","['interferon', 'cytotoxic drugs']"
"While the demonstrated antiviral , antiproliferative , and immunomodulatory properties of interferons have led to a number of theories regarding their potential use in treating individuals with chronic myelogenous leukemia ( CML ) , their limited availability has prevented thorough clinical investigation .","['chronic myelogenous leukemia ( CML )']","['interferons']"
"The data resulting from these clinical trials indicate that interferon alfa-2a is effective in inducing hematologic remissions in the majority of minimally treated , benign-phase CML , Ph1-positive patients .","['benign-phase CML']","['interferon alfa-2a']"
"More than 1600 patients with neoplastic disorders have received recombinant human interferon alfa-2a ( Roferon-A , Hoffmann-La Roche , Nutley , NJ ) as part of ongoing or completed clinical trials .","['neoplastic disorders']","['recombinant human interferon alfa-2a ( Roferon-A , Hoffmann-La Roche , Nutley , NJ )']"
"A phase I/II trial of docetaxel , cisplatin , fluorouracil ( 5-FU ) , and leucovorin ( TPFL5 ) induction chemotherapy for patients with locally advanced squamous cell carcinoma of the head and neck ( SCCHN ) .","['locally advanced squamous cell carcinoma of the head and neck ( SCCHN )']","['docetaxel', 'cisplatin', 'fluorouracil ( 5-FU )', 'leucovorin ( TPFL5 ) induction chemotherapy']"
"PATIENTS AND Twenty-three previously untreated patients with stage III or IV SCCHN and Eastern Cooperative Oncology Group functional status less than or equal to 2 were treated with TPFL5 .","['stage III or IV SCCHN']","['TPFL5']"
"Intrathecal sufentanil provides approximately 2 h of excellent labor analgesia with minimal motor blockade .","['labor']","['Intrathecal sufentanil']"
"We report the results of a double-blind , double-dummy , active-control study designed to evaluate the efficacy and safety of lamotrigine ( LTG ) administered as monotherapy to adult outpatients with partial seizures .","['partial seizures']","['lamotrigine ( LTG )']"
"The effectiveness of LTG as add-on therapy for partial seizures in adults has previously been established .","['partial seizures']","['LTG']"
"We conclude that LTG is effective and well tolerated when administered as monotherapy in adult patients with partial seizures .","['partial seizures']","['LTG']"
"Omega3 fatty acids may inhibit neuronal signal transduction pathways in a manner similar to that of lithium carbonate and valproate , 2 effective treatments for bipolar disorder .","['bipolar disorder']","['lithium carbonate', 'valproate']"
"The present study was performed to examine whether omega3 fatty acids also exhibit mood-stabilizing properties in bipolar disorder .","['bipolar disorder']","['omega3 fatty acids']"
"Omega3 fatty acids were well tolerated and improved the short-term course of illness in this preliminary study of patients with bipolar disorder .","['bipolar disorder']","['Omega3 fatty acids']"
"Several large-scale trials have firmly established the effectiveness of thrombolytic therapy , beta blockers , and aspirin in the treatment of AMI .","['AMI']","['thrombolytic therapy', 'beta blockers', 'aspirin']"
"Fluvastatin 40 mg daily was administered to 25 patients with hypercholesterolaemia for up to 24 weeks .","['hypercholesterolaemia']","['Fluvastatin']"
"Three patients with FAP and two patients with multiple ( more than 30 ) colorectal polyps were administered DHA-concentrated fish oil capsules_Hlk427554600 ( 2.2 g of DHA and 0.6 g of eicosapentanoic acid ( EPA ) per day ) for one or two years .","['FAP', 'colorectal polyps']","['DHA-concentrated fish oil capsules_Hlk427554600 ( 2.2 g of DHA and 0.6 g of eicosapentanoic acid ( EPA ) per day )']"
"This article reviews current trends in management of esophageal achalasia , highlighting short-term outcome and cost comparisons of three botulinum toxin injection , pneumatic dilation , and laparoscopic myotomy .","['esophageal achalasia']","['botulinum toxin injection', 'pneumatic dilation', 'laparoscopic myotomy']"
"The clinical application of therapeutic hysteroscopy , mainly in the field of the treatment of abnormal uterine bleeding , started in the 1980s .","['abnormal uterine bleeding']","['therapeutic hysteroscopy']"
"Gene therapy of malignant brain tumors .","['malignant brain tumors']","['Gene therapy']"
"Treatment of irritable bowel syndrome with Chinese herbal a randomized controlled trial .","['irritable bowel syndrome']","['Chinese herbal medicine']"
"Randomised trial of interferon alpha2b plus ribavirin for 48 weeks or for 24 weeks versus interferon alpha2b plus placebo for 48 weeks for treatment of chronic infection with hepatitis C virus .","['chronic infection with hepatitis C virus']","['interferon alpha2b plus ribavirin', 'interferon alpha2b plus placebo']"
"Low-molecular-weight heparin for immediate management of thromboembolic disease in pregnancy .","['thromboembolic disease']","['Low-molecular-weight heparin']"
"Tubularized incised plate hypospadias repair for proximal hypospadias .","['proximal hypospadias']","['Tubularized incised plate hypospadias repair']"
"Comparison of radical prostatectomy and iodine 125 interstitial radiotherapy for the treatment of clinically localized prostate a 7-year biochemical ( PSA ) progression analysis .","['clinically localized prostate cancer']","['radical prostatectomy', 'iodine 125 interstitial radiotherapy']"
"The effectiveness of acupuncture in treating acute dental a systematic review .","['acute dental pain']","['acupuncture']"
"Correction of cardiac defects through a right thoracotomy in children .","['cardiac defects']","['right thoracotomy']"
"New technique for mesh repair of paracolostomy hernias .","['paracolostomy hernias']","['mesh repair']"
"Immunotherapy of tumors with autologous tumor-derived heat shock protein preparations .","['tumors']","['Immunotherapy', 'autologous tumor-derived heat shock protein preparations']"
"Comprehensive modified diet simplifies nutrition management of adults with short-bowel syndrome .","['short-bowel syndrome']","['Comprehensive modified diet', 'nutrition management']"
"Extended use of glatiramer acetate ( Copaxone ) is well tolerated and maintains its clinical effect on multiple sclerosis relapse rate and degree of disability .","['multiple sclerosis']","['glatiramer acetate ( Copaxone )']"
"European register of patients with sickle cell disease treated with hydroxyurea is being set up .","['sickle cell disease']","['hydroxyurea']"
"Understanding the culture of qualitative study of general practitioners ' and patients ' perceptions of antibiotics for sore throats .","['sore throats']","['antibiotics']"
"Steroid delivery in croup .","['croup']","['Steroid delivery']"
"Haematoma block versus intravenous regional anaesthesia in Colles ' fractures .","[""Colles ' fractures""]","['Haematoma block', 'intravenous regional anaesthesia']"
"Direct percutaneous transluminal angioplasty for acute middle cerebral artery occlusion .","['acute middle cerebral artery occlusion']","['Direct percutaneous transluminal angioplasty']"
"Magnesium sulphate for the control of spasms in severe tetanus .","['spasms in severe tetanus']","['Magnesium sulphate']"
"Assessment of atrioventricular junction ablation and VVIR pacemaker versus pharmacological treatment in patients with heart failure and chronic atrial a randomized , controlled study .","['heart failure and chronic atrial fibrillation']","['atrioventricular junction ablation and VVIR pacemaker', 'pharmacological treatment']"
"Repair of ventral hernias with expanded polytetrafluoroethylene patch .","['ventral hernias']","['expanded polytetrafluoroethylene patch']"
"Spinal manipulation in the treatment of episodic tension-type a randomized controlled trial .","['episodic tension-type headache']","['Spinal manipulation']"
"Successful treatment with lamivudine for fulminant reactivated hepatitis B infectioN following intensive therapy for high-grade non-Hodgkin 's lymphoma .","['fulminant reactivated hepatitis B infectioN', ""high-grade non-Hodgkin 's lymphoma""]","['lamivudine', 'intensive therapy']"
"Influence of treatment delay on infarct size and clinical outcome in patients with acute myocardial infarction treated with primary angioplasty .","['acute myocardial infarction']","['primary angioplasty']"
"Should patients with advanced sarcomas be treated with chemotherapy ? .","['advanced sarcomas']","['chemotherapy']"
"Plasma exchange and tacrolimus-mycophenolate rescue for acute humoral rejection in kidney transplantation .","['acute humoral rejection']","['Plasma exchange and tacrolimus-mycophenolate rescue']"
